action_times,actions,button_pressed,correct,env,path,pr_freq,prs,pseudo_rewards,questions,responses,returns,rewards,rt,score,stars,stimulus,time_elapsed,trial,trial_id,trial_index,trial_type,view_history,worker_id,assignment_id,pid
,,,,,,,,,,,,,7670,,,,213211,,,,instructions,"[{""page_index"":0,""viewing_time"":1286},{""page_index"":1,""viewing_time"":1146},{""page_index"":2,""viewing_time"":1304},{""page_index"":3,""viewing_time"":1410},{""page_index"":4,""viewing_time"":2521}]",A1MTRZDRKNB9GV,35GMH2SV3EHUOP0OLYJHK7053RMEO8,10
,,,,,,,,,,,,,7197,,,,228509,,,,instructions,"[{""page_index"":0,""viewing_time"":1405},{""page_index"":1,""viewing_time"":1103},{""page_index"":2,""viewing_time"":1473},{""page_index"":3,""viewing_time"":1984},{""page_index"":4,""viewing_time"":1230}]",A1MTRZDRKNB9GV,35GMH2SV3EHUOP0OLYJHK7053RMEO8,10
,,,,,,,,,,,,,114364,,,,114375,,,,instructions,"[{""page_index"":0,""viewing_time"":43333},{""page_index"":1,""viewing_time"":5356},{""page_index"":2,""viewing_time"":55281},{""page_index"":3,""viewing_time"":8599},{""page_index"":4,""viewing_time"":1795}]",A1N4AZ1QXPOPXH,3R5F3LQFV2KSZKRKHLXU5H1NRXVOZO,11
,,,,,,,,,,,,,49134,,,,49142,,,,instructions,"[{""page_index"":0,""viewing_time"":16078},{""page_index"":1,""viewing_time"":6174},{""page_index"":2,""viewing_time"":17176},{""page_index"":3,""viewing_time"":8144},{""page_index"":4,""viewing_time"":1562}]",A1NKBXOTZAI1YK,3VJ40NV2QINWD8ILBT8CJT06619OT8,12
,,,,,,,,,,,,,16559,,,,89245,,,,instructions,"[{""page_index"":0,""viewing_time"":1791},{""page_index"":1,""viewing_time"":3648},{""page_index"":2,""viewing_time"":9303},{""page_index"":3,""viewing_time"":1028},{""page_index"":4,""viewing_time"":788}]",A1NKBXOTZAI1YK,3VJ40NV2QINWD8ILBT8CJT06619OT8,12
,,,,,,,,,,,,,34353,,,,34365,,,,instructions,"[{""page_index"":0,""viewing_time"":7241},{""page_index"":1,""viewing_time"":6825},{""page_index"":2,""viewing_time"":7038},{""page_index"":3,""viewing_time"":3692},{""page_index"":4,""viewing_time"":2151},{""page_index"":3,""viewing_time"":5846},{""page_index"":4,""viewing_time"":1560}]",A1OQ3KL56KMQSU,3907X2AHF05KE9097E1V76W6GTSP2Y,13
,,,,,,,,,,,,,80317,,,,80337,,,,instructions,"[{""page_index"":0,""viewing_time"":10612},{""page_index"":1,""viewing_time"":8759},{""page_index"":2,""viewing_time"":43546},{""page_index"":3,""viewing_time"":13705},{""page_index"":4,""viewing_time"":3694}]",A1PTH9KTRO06EG,3TY7ZAOG5FKC780FFZS9S1HSPMRK0Z,14
,,,,,,,,,,,,,113151,,,,113159,,,,instructions,"[{""page_index"":0,""viewing_time"":13642},{""page_index"":1,""viewing_time"":12259},{""page_index"":2,""viewing_time"":61410},{""page_index"":3,""viewing_time"":20861},{""page_index"":4,""viewing_time"":4977}]",A1TL6GOSY0W1YC,39K0FND3AHF3Y9Y0SD2IWKL9NC9MA6,15
,,,,,,,,,,,,,24126,,,,165400,,,,instructions,"[{""page_index"":0,""viewing_time"":3261},{""page_index"":1,""viewing_time"":3047},{""page_index"":2,""viewing_time"":12370},{""page_index"":3,""viewing_time"":1120},{""page_index"":4,""viewing_time"":4328}]",A1TL6GOSY0W1YC,39K0FND3AHF3Y9Y0SD2IWKL9NC9MA6,15
,,,,,,,,,,,,,86539,,,,86548,,,,instructions,"[{""page_index"":0,""viewing_time"":15306},{""page_index"":1,""viewing_time"":9618},{""page_index"":2,""viewing_time"":41181},{""page_index"":3,""viewing_time"":16480},{""page_index"":4,""viewing_time"":3953}]",A1W2AXHN5R2J91,3GGAI1SQEVYRROVYCRY92FBXNGJMCZ,16
,,,,,,,,,,,,,56708,,,,56727,,,,instructions,"[{""page_index"":0,""viewing_time"":11241},{""page_index"":1,""viewing_time"":5948},{""page_index"":2,""viewing_time"":29469},{""page_index"":3,""viewing_time"":7535},{""page_index"":4,""viewing_time"":2514}]",A1X5IZPCRLL0Z7,30OG32W0SUBC640CKJJ45I00DHHENT,17
