bonus,bonus_rate,completed,cond_i,counter_i,creation_time,depth,pseudo_f,seed,start_time,width,code_version,pid
0.0,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 19:11:39 GMT+0100 (Central Europe Standard Time),4,E,40
1.4000000000000001,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 17:17:32 GMT-0500 (EST),4,E,41
1.9500000000000002,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:38:59 GMT-0500 (EST),4,E,42
1.0,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:10:24 GMT-0500 (Eastern Standard Time),4,E,43
1.5,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Fri Mar 03 2017 17:34:24 GMT-0600 (Central Standard Time),4,E,44
1.85,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 18:45:12 GMT-0500 (Eastern Standard Time),4,E,45
0.0,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 18:52:16 GMT-0500 (Eastern Standard Time),4,E,46
0.0,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 20:53:29 GMT-0500 (Eastern Standard Time),4,E,47
1.8,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 19:34:27 GMT-0500 (Eastern Standard Time),4,E,48
0.0,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 18:43:44 GMT-0500 (Eastern Standard Time),4,E,49
1.75,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:30:36 GMT-0500 (Eastern Standard Time),4,E,50
1.5,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:03:22 GMT-0600 (Central Standard Time),4,E,51
1.5,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:26:34 GMT-0600 (Central Standard Time),4,E,52
1.85,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 15:45:14 GMT-0500 (Eastern Standard Time),4,E,53
1.9500000000000002,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 15:54:26 GMT-0500 (Eastern Standard Time),4,E,54
1.4500000000000002,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 15:36:33 GMT-0500 (EST),4,E,55
1.05,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 17:44:12 GMT-0600 (Central Standard Time),4,E,56
1.1500000000000001,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 16:28:56 GMT-0600 (Central Standard Time),4,E,57
0.5,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:10:27 GMT-0500 (Eastern Standard Time),4,E,58
1.9500000000000002,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 18:49:51 GMT-0500 (Eastern Standard Time),4,E,59
1.35,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:45:14 GMT-0500 (Eastern Standard Time),4,E,60
1.8,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Fri Mar 03 2017 11:20:58 GMT-0500 (Eastern Standard Time),4,E,61
1.0,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:10:39 GMT-0500 (Eastern Standard Time),4,E,62
1.05,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 15:54:03 GMT-0500 (Eastern Standard Time),4,E,63
0.8500000000000001,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 17:46:55 GMT-0600 (Central Standard Time),4,E,64
1.35,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:10:40 GMT-0500 (Eastern Standard Time),4,E,65
1.1500000000000001,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 12:08:31 GMT-0700 (MST),4,E,66
1.4000000000000001,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 12:38:36 GMT-0600 (Central Standard Time),4,E,67
1.75,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 10:30:15 GMT-0800 (Pacific Standard Time),4,E,68
0.6000000000000001,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 16:03:37 GMT-0500 (Eastern Standard Time),4,E,69
1.1,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:26:13 GMT-0500 (Eastern Standard Time),4,E,70
1.6500000000000001,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:04:49 GMT-0600 (Central Standard Time),4,E,71
1.85,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:04:31 GMT-0600 (Central Standard Time),4,E,72
