action_times,actions,button_pressed,correct,env,path,pr_freq,prs,pseudo_rewards,questions,responses,returns,rewards,rt,score,stars,stimulus,time_elapsed,trial,trial_id,trial_index,trial_type,view_history,worker_id,assignment_id,pid
"[7922, 8496, 9067, 13928, 14520, 15055]","['up', 'down', 'up', 'up', 'down', 'down']",,,static/json/pachinko_34.json,"['0_1', '1_1', '2_1', '3_1', '4_0', '5_1', '6_1']",3.0,"[21, 0]",static/json/pseudo_rewards_104.json,,,"{'2': 11, '6': 34, '1': -5}","[-2, 8, -3, 7, 0, 0]","[7911, 57, 42, 4309, 73, 23]",10.0,21.0,,573689,138.0,,11.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[17411, 18450, 19282, 19944, 20658, 21738]","['up', 'up', 'up', 'up', 'down', 'down']",,,static/json/pachinko_15.json,"['0_2', '1_2', '2_1', '3_1', '4_0', '5_1', '6_1']",0.0,[],,,,"{'2': 8, '6': 35, '1': -4}","[1, -2, 0, 8, 4, 19]","[17410, 520, 320, 148, 194, 576]",30.0,0.0,,667492,63.0,,12.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[3108, 3659, 5396, 5980, 6612, 7514]","['up', 'up', 'up', 'up', 'down', 'down']",,,static/json/pachinko_13.json,"['0_2', '1_2', '2_1', '3_1', '4_0', '5_1', '6_1']",2.0,"[26, 43, 0]",static/json/pseudo_rewards_40.json,,,"{'2': 7, '6': 21, '1': -4}","[0, -5, -9, -8, 28, 0]","[3097, 32, 1209, 68, 113, 387]",6.0,69.0,,677275,53.0,,13.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1990, 3159, 3847, 6023, 6991, 7685]","['down', 'down', 'down', 'down', 'up', 'up']",,,static/json/pachinko_26.json,"['0_1', '1_2', '2_2', '3_3', '4_3', '5_3', '6_2']",3.0,"[28, 0]",static/json/pseudo_rewards_80.json,,,"{'2': 4, '6': 28, '1': -8}","[0, 0, 0, -3, 24, 7]","[1982, 655, 175, 1631, 454, 178]",28.0,28.0,,687075,106.0,,14.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[8546, 10279, 10889, 11624, 12209, 12960]","['down', 'down', 'up', 'down', 'up', 'down']",,,static/json/pachinko_3.json,"['0_0', '1_1', '2_1', '3_1', '4_1', '5_1', '6_1']",0.0,[],,,,"{'2': 11, '6': 23, '1': -5}","[0, 1, 2, -7, 7, 17]","[8546, 1216, 92, 226, 79, 247]",20.0,0.0,,702235,15.0,,15.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[2644, 3300, 3909, 5125, 6133, 6781]","['down', 'down', 'down', 'down', 'down', 'down']",,,static/json/pachinko_6.json,"['0_0', '1_1', '2_1', '3_2', '4_2', '5_3', '6_3']",3.0,"[32, 0]",static/json/pseudo_rewards_20.json,,,"{'2': 12, '6': 35, '1': -1}","[1, 1, 1, -9, 20, 21]","[2634, 139, 101, 687, 489, 138]",35.0,32.0,,712721,26.0,,16.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1302, 2518, 3678, 4782, 5646, 6468]","['down', 'down', 'down', 'down', 'up', 'up']",,,static/json/pachinko_12.json,"['0_1', '1_2', '2_2', '3_3', '4_3', '5_3', '6_2']",1.0,"[34, 36, 37, 33, 20, 0]",static/json/pseudo_rewards_36.json,,,"{'2': 18, '6': 34, '1': -3}","[0, -2, -1, 4, 13, 20]","[1295, 691, 644, 582, 317, 299]",34.0,160.0,,721498,48.0,,17.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[9764, 10490, 12138, 12811, 13395, 14027]","['up', 'down', 'down', 'down', 'up', 'down']",,,static/json/pachinko_19.json,"['0_0', '1_0', '2_0', '3_1', '4_1', '5_1', '6_1']",0.0,[],,,,"{'2': 23, '6': 36, '1': -2}","[-5, 3, 3, 3, 4, 28]","[9763, 209, 1140, 162, 79, 112]",36.0,0.0,,737844,79.0,,18.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[7965, 8724, 9635, 10146, 10754, 11290]","['down', 'down', 'down', 'down', 'down', 'up']",,,static/json/pachinko_27.json,"['0_0', '1_1', '2_1', '3_2', '4_2', '5_3', '6_2']",0.0,[],,,,"{'2': 13, '6': 33, '1': -4}","[0, 0, 1, 12, 16, 4]","[7964, 226, 405, 1, 76, 29]",33.0,0.0,,751538,111.0,,19.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[5694, 6262, 6877, 7676, 8372, 8996]","['up', 'up', 'up', 'up', 'down', 'down']",,,static/json/pachinko_38.json,"['0_2', '1_2', '2_1', '3_1', '4_0', '5_1', '6_1']",3.0,"[40, 0]",static/json/pseudo_rewards_116.json,,,"{'2': 16, '6': 31, '1': -15}","[1, -3, -7, 15, 7, 18]","[5683, 59, 81, 255, 184, 109]",31.0,40.0,,762699,154.0,,20.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[2379, 2930, 3465, 6235, 6802, 7338]","['down', 'down', 'down', 'down', 'down', 'down']",,,static/json/pachinko_18.json,"['0_0', '1_1', '2_1', '3_2', '4_2', '5_3', '6_3']",3.0,"[36, 0]",static/json/pseudo_rewards_56.json,,,"{'2': 16, '6': 37, '1': -6}","[0, 0, 1, 14, 1, 21]","[2370, 36, 22, 2247, 58, 29]",37.0,36.0,,771738,74.0,,21.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1275, 3145, 4537, 5707, 7225, 8081]","['down', 'down', 'up', 'down', 'down', 'down']",,,static/json/pachinko_28.json,"['0_1', '1_2', '2_2', '3_2', '4_2', '5_3', '6_3']",1.0,"[33, 26, 25, 23, 22, 0]",static/json/pseudo_rewards_84.json,,,"{'2': 9, '6': 33, '1': -3}","[0, -7, 1, 2, 1, 4]","[1267, 1345, 871, 650, 997, 345]",1.0,129.0,,784858,112.0,,22.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[5551, 6100, 6654, 7170, 7701, 8789]","['down', 'up', 'down', 'up', 'up', 'up']",,,static/json/pachinko_39.json,"['0_2', '1_3', '2_2', '3_3', '4_2', '5_2', '6_1']",0.0,[],,,,"{'2': 17, '6': 36, '1': -5}","[-2, 3, 9, -12, 10, 27]","[5550, 45, 27, 12, 12, 566]",35.0,0.0,,795297,159.0,,23.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[9563, 10132, 10899, 11451, 12108, 12698]","['down', 'down', 'down', 'up', 'up', 'up']",,,static/json/pachinko_30.json,"['0_0', '1_1', '2_1', '3_2', '4_1', '5_1', '6_0']",3.0,"[10, 0]",static/json/pseudo_rewards_92.json,,,"{'2': 1, '6': 22, '1': -17}","[0, 0, -3, -9, 10, 9]","[9555, 59, 257, 39, 149, 74]",7.0,10.0,,810233,122.0,,24.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1999, 2767, 4871, 5517, 7959, 8622]","['up', 'up', 'up', 'up', 'down', 'down']",,,static/json/pachinko_1.json,"['0_3', '1_3', '2_2', '3_2', '4_1', '5_2', '6_2']",2.0,"[21, 19, 0]",static/json/pseudo_rewards_4.json,,,"{'2': 10, '6': 24, '1': -12}","[4, -1, 4, -2, 9, 10]","[1991, 258, 1593, 127, 1913, 128]",24.0,40.0,,821715,5.0,,25.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[7462, 8013, 8587, 9123, 9692, 10227]","['down', 'down', 'down', 'up', 'up', 'down']",,,static/json/pachinko_35.json,"['0_0', '1_1', '2_1', '3_2', '4_1', '5_1', '6_1']",0.0,[],,,,"{'2': 14, '6': 29, '1': -8}","[0, 6, 7, 4, 9, 3]","[7460, 28, 55, 24, 61, 29]",29.0,0.0,,833852,143.0,,26.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[4652, 5324, 5877, 6444, 7020, 7614]","['up', 'down', 'up', 'up', 'down', 'down']",,,static/json/pachinko_7.json,"['0_3', '1_3', '2_3', '3_3', '4_2', '5_3', '6_3']",0.0,[],,,,"{'2': 18, '6': 31, '1': -7}","[0, 0, 3, 4, 3, 21]","[4652, 153, 39, 57, 66, 75]",31.0,0.0,,844091,31.0,,27.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[2270, 2785, 4568, 5224, 6208, 6855]","['down', 'down', 'up', 'down', 'up', 'down']",,,static/json/pachinko_5.json,"['0_0', '1_1', '2_1', '3_1', '4_1', '5_1', '6_1']",2.0,"[29, 23, 0]",static/json/pseudo_rewards_16.json,,,"{'2': 11, '6': 31, '1': -29}","[0, 2, 2, 4, 1, 22]","[2263, 0, 1237, 139, 469, 134]",31.0,52.0,,853219,21.0,,28.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1117, 2261, 3876, 5150, 5860, 6566]","['down', 'down', 'down', 'down', 'up', 'up']",,,static/json/pachinko_4.json,"['0_1', '1_2', '2_2', '3_3', '4_3', '5_3', '6_2']",1.0,"[34, 34, 36, 28, 18, 0]",static/json/pseudo_rewards_12.json,,,"{'2': 15, '6': 36, '1': -8}","[2, 0, -2, 8, 10, 18]","[1108, 621, 1082, 734, 189, 181]",36.0,150.0,,862241,16.0,,29.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1509, 2436, 7596, 8189, 9716, 10347]","['down', 'up', 'down', 'up', 'down', 'up']",,,static/json/pachinko_21.json,"['0_0', '1_1', '2_0', '3_1', '4_0', '5_1', '6_0']",2.0,"[37, 41, 0]",static/json/pseudo_rewards_64.json,,,"{'2': 14, '6': 36, '1': -16}","[1, -2, 2, -19, 6, 35]","[1501, 416, 4639, 84, 977, 112]",23.0,78.0,,876379,85.0,,30.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[7121, 22086, 22678, 23206, 24072, 24688]","['down', 'down', 'down', 'up', 'down', 'up']",,,static/json/pachinko_11.json,"['0_1', '1_2', '2_2', '3_3', '4_2', '5_3', '6_2']",0.0,[],,,,"{'2': 7, '6': 30, '1': -21}","[1, -1, 9, -9, -4, 25]","[7119, 14442, 85, 14, 345, 111]",21.0,0.0,,903180,47.0,,31.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1341, 2558, 3724, 4918, 5966, 7316]","['down', 'down', 'down', 'up', 'down', 'up']",,,static/json/pachinko_20.json,"['0_0', '1_1', '2_1', '3_2', '4_1', '5_2', '6_1']",1.0,"[36, 37, 32, 20, 13, 0]",static/json/pseudo_rewards_60.json,,,"{'2': 13, '6': 36, '1': -4}","[0, -1, 5, 12, 7, 13]","[1332, 704, 647, 675, 524, 827]",36.0,138.0,,912627,80.0,,32.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[4143, 7182, 10598, 17950, 18542, 19190]","['down', 'down', 'up', 'down', 'up', 'down']",,,static/json/pachinko_31.json,"['0_1', '1_2', '2_2', '3_2', '4_2', '5_2', '6_2']",0.0,[],,,,"{'2': 9, '6': 23, '1': -3}","[1, 0, 6, 14, -5, 2]","[4142, 2522, 2905, 6840, 84, 131]",18.0,0.0,,933891,127.0,,33.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1009, 2088, 3272, 4472, 5631, 6456]","['down', 'down', 'down', 'down', 'up', 'down']",,,static/json/pachinko_16.json,"['0_0', '1_1', '2_1', '3_2', '4_2', '5_2', '6_2']",1.0,"[39, 37, 31, 33, 10, 0]",static/json/pseudo_rewards_48.json,,,"{'2': 23, '6': 37, '1': -1}","[-2, 2, 6, -2, 23, 10]","[1000, 567, 666, 684, 640, 295]",37.0,150.0,,942620,64.0,,34.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1435, 2514, 3755, 4971, 6252, 7116]","['up', 'down', 'up', 'down', 'down', 'down']",,,static/json/pachinko_36.json,"['0_0', '1_0', '2_0', '3_0', '4_0', '5_1', '6_1']",1.0,"[30, 34, 32, 16, 16, 0]",static/json/pseudo_rewards_108.json,,,"{'2': 12, '6': 27, '1': -11}","[-3, -4, 2, 16, 0, 16]","[1409, 537, 720, 688, 751, 340]",27.0,128.0,,951795,144.0,,35.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[5770, 6497, 7249, 12451, 13139, 13786]","['down', 'up', 'down', 'up', 'down', 'down']",,,static/json/pachinko_10.json,"['0_1', '1_2', '2_1', '3_2', '4_1', '5_2', '6_2']",3.0,"[36, 0]",static/json/pseudo_rewards_32.json,,,"{'2': 27, '6': 39, '1': -15}","[0, 0, -5, 0, 28, 8]","[5763, 185, 213, 4675, 170, 133]",31.0,36.0,,967578,42.0,,36.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[6375, 7085, 7677, 8264, 9005, 9629]","['down', 'down', 'up', 'down', 'up', 'up']",,,static/json/pachinko_23.json,"['0_0', '1_1', '2_1', '3_1', '4_1', '5_1', '6_0']",0.0,[],,,,"{'2': 25, '6': 36, '1': -9}","[-3, -1, 6, 6, 6, 22]","[6374, 188, 66, 69, 232, 89]",36.0,0.0,,979387,95.0,,37.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1101, 2341, 3541, 4734, 5876, 6541]","['up', 'up', 'up', 'down', 'down', 'down']",,,static/json/pachinko_8.json,"['0_2', '1_2', '2_1', '3_1', '4_1', '5_2', '6_2']",1.0,"[27, 26, 25, 29, 9, 0]",static/json/pseudo_rewards_24.json,,,"{'2': 8, '6': 26, '1': -20}","[-1, 1, 1, -4, 20, 9]","[1079, 717, 674, 649, 617, 141]",26.0,116.0,,988736,32.0,,38.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1727, 2277, 4574, 5125, 6543, 7093]","['up', 'up', 'up', 'up', 'down', 'up']",,,static/json/pachinko_37.json,"['0_2', '1_2', '2_1', '3_1', '4_0', '5_1', '6_0']",2.0,"[21, 12, 0]",static/json/pseudo_rewards_112.json,,,"{'2': 10, '6': 21, '1': -14}","[0, 0, 0, 2, 0, 12]","[1709, 31, 1772, 45, 890, 29]",14.0,33.0,,997865,149.0,,39.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
